Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
SpaceX,350,Dec-24,Aerospace,United States,Elon Musk
ByteDance,315,March†2025,Internet,China,"Zhang Yiming, Liang Rubo"
OpenAI,300,March†2025,Artificial intelligence,United States,"Sam Altman, Greg Brockman, Ilya Sutskever"
xAI,113,February†2025,Artificial Intelligence,United States,Elon Musk
Stripe,91.5,September†2021,Financial services,United States and Ireland,Patrick and John Collison
Binance,80-90,May†2023,Cryptocurrency,Canada,Changpeng Zhao
Shein,66,December†2024,E-commerce,China,Chris Xu
Databricks,62,March†2025),Software,United States,Ali Ghodsi
Anthropic,61.5,Apr-25,Artificial Intelligence,United States,Dario Amodei
Safe Superintelligence,32,June†2022,Artificial Intelligence,United States and Israel,"Ilya Sutskever, Daniel Gross, Daniel Levy"
Epic Games,31.5,January†2021,Video games,United States,Tim Sweeney
Telegram,30,October†2024,Internet,United Arab Emirates,Nikolai and Pavel Durov
Canva,32,Jun-25,Graphic design,Australia,"Melanie Perkins, Clifford Obrecht, Cameron Adams"
Anduril Industries,30.5,Jun-25,Defense technology,United States,Palmer Luckey
Scale AI,29,June†2022†,Artificial intelligence,United States,"Alexandr Wang, Lucy Guo"
Fanatics,27,June†2022,E-commerce,United States,"Alan Trager, Mitch Trager, Michael Rubin[34]"
Chime,25,March†2025,Financial services,United States,Chris Britt and Ryan King
Perplexity AI,18,April†2023,Artificial Intelligence,United States,"Aravind Srinivas, Denis Yarats, Johnny Ho, Andy Konwinski"
Revolut,17.75,January†2022,Financial technology,United Kingdom,"Nikolay Storonsky, Vlad Yatsenko"
Miro,17.5,July†2021,Software,United States,Andrey Khusid
Nature's Fynd,17,May†2021,Consumer packaged goods,United States,"Thomas Jonas, Mark Kozubal, Yuval Avniel, Rich Macur, Daniel Livny, Matthew Strongin"
Trendyol,16.5,October†2020,E-commerce,Turkey,Demet Mutlu
Yuanfudao,15.5,September†2021,Educational technology,China,Yong Li
Discord,15,September†2016,Software,United States,"Jason Citron, Stanislav Vishnevsky"
DJI,15,July†2021,Technology,China,Frank Wang (Wang Tao)
GoPuff,15,September†2023,E-commerce,United States,"Yakir Gola, Rafael Ilishayev"
Xiaohongshu,14,April†2021,E-commerce,China,"Miranda Qu Fang, Charlwin Mao Wenchao"
Plaid,13.4,November†2021,Financial technology,United States,"Zach Perret, William Hockey"
Grammarly,13,October†2021,Collaborative software,Ukraine[46]/United States[47],"Alex Shevchenko, Max Lytvyn, and Dmytro Lider"
Devoted Health,12.6,November†2021,Healthcare,United States,Todd Park
Faire,12.4,Oct-21,E-commerce,United States,Max Rhodes
Brex,12.3,Apr-21,Finance,United States,Henrique Dubugras and Pedro Franceschi
Biosplice Therapeutics,12,Apr-21,Health,United States,Osman Kibar
Bitmain,12,May 2018[151],Cryptocurrency,China,Jihan Wu
GoodLeap,12,June 2019[275],Financial technology,United States,"Hayes Barnard, Jason Walker, Matt Dawson"
SenseTime,12,August 2019[306],Artificial intelligence,China / Hong Kong,Tang Xiao'ouXu Li
Getir,12,March 2018[280],Retail,Turkey,Nazƒ±m Salur
Northvolt,11.75,September 2021[356],Batteries,Sweden,"Peter Carlsson, Paolo Cerrutim, Harald Mix, Carl-Erik Lagercrantz"
Rippling,11.25,April 2021[365],Workforce management,United States,Parker Conrad
Airtable,11,September 2021[366],Collaborative software,United States,"Howie Liu, Andrew Ofstad, Emmett Nicholas"
Checkout.com,11,December 2021[410],Financial technology,United Kingdom,Guillaume Pousaz
Celonis,11,October 2021[444],Software,Germany,"Alex Rinke, Bastian Nominacher, Martin Klenk"
ZongMu Technology,11,March 2021[510],Self-driving cars,China,Tang Rui[60]
Bolt Financial,11,March 2021[519],Financial technology,United States,Ryan Breslow
Colossal Biosciences,10.2,April 2022 [521],Biotechnology,United States,"George Churchm, Ben Lamm"
Alchemy,10.2,July 2021[543],Blockchain,United States,Joe Lau and Nikil Viswanathan
Chehaoduo,10,August 2019[559],Marketplace,China,
Digital Currency Group,10,September 2021[600],Venture capital,United States,
Figma,10,July 2018[152],Software,United States,Dylan Field and Evan Wallace
Gusto,10,December 2021[611],Software,United States,Joshua Reeves and Edward Kim
KuCoin,10,July 2023[623],Cryptocurrency,Seychelles,
Lalamove,10,Oct-21,Supply chain management,Hong Kong / China,
Notion Labs,10,Feb-22,Productivity software,United States,
Polygon Technology,10,Dec-19,"Blockchain, Web3",India / Cayman Islands [72],
Ripple,10,Aug-21,Cryptocurrency,United States,
Talkdesk,10,Jun-25,Software as a service,Portugal / United States,"Cristina Fonseca, Tiago Paiva"
Anysphere,9.9,Aug-21,Artificial intelligence,United States,
Oyo,9.6,May-21,Hospitality,India,Ritesh Agarwal
Klaviyo,9.5,Feb-21,Marketing,United States,
OutSystems,9.5,Jun-21,Software development,Portugal[79] / United States[80],"Paulo Rosado, Rui Pereira"
ServiceTitan,9.5,Jul-21,Software,United States,
HeyTea,9.3,May-25,Retail,China,
Neuralink,9,Mar-25,Neurotechnology,United States,Elon Musk
Thinking Machines Lab,9,December†2023,Artificial intelligence,United States,Mira Murati
VAST Data,9,Jun-20,Data storage,United States,
Tanium,9,Oct-21,Cybersecurity,United States,"David Hindawi, Orion Hindawi"
Kavak,8.7,Aug-21,Marketplace,Mexico,
Rapyd,8.7,Jun-21,Financial technology,United Kingdom,
Supercell,8.6,Nov-21,Gaming,Finland,Ilkka Paananen and Mikko Kodisoja
Nuro,8.6,Sep-21,Robotics,United States,
Snyk,8.5,Jan-22,Application security,United Kingdom,"Assaf Hefetz, Danny Grander"
Bolt,8.4,Mar-22,Transportation,Estonia / France,Markus Villig
Ramp,8.1,Nov-21,Financial technology,United States,
Dream11,8,Feb-22,Fantasy sports,India,"Harsh Jain, Bhavit Sheth"
Flexport,8,May-22,Logistics,United States,Ryan Petersen
